Zona,Entidad Federativa
Occidente,Aguascalientes
Noroeste,Baja California
Noroeste,Baja California Sur
Península,Campeche
Sur,Chiapas
Norte,Chihuahua
Centro,Ciudad de México
Norte,Coahuila
Occidente,Colima
Norte,Durango
Occidente,Guanajuato
Sur,Guerrero
Centro,Hidalgo
Occidente,Jalisco
Centro,México
Occidente,Michoacán
Centro,Morelos
Noroeste,Nayarit
Noreste,Nuevo León
Sur,Oaxaca
Centro,Puebla
Centro,Querétaro
Península,Quintana Roo
Norte,San Luis Potosí
Noroeste,Sinaloa
Noroeste,Sonora
Golfo,Tabasco
Noreste,Tamaulipas
Centro,Tlaxcala
Golfo,Veracruz
Península,Yucatán
Norte,Zacatecas
